D0 Brightness -SAP,shift1,shift2,shift3,shift4,shift5,shift6,shift7,shift8,shift9,shift10,shift11,shift12,shift13,shift14,shift15
62.8,46.1,46.1,46.1,46.1,46.1,46.1,46.1,45.8,45.8,45.8,45.8,45.8,45.8,45.8,45.8
64.1,46.3,46.1,46.1,46.1,46.1,46.1,46.1,46.1,45.8,45.8,45.8,45.8,45.8,45.8,45.8
67.3,46.3,46.3,46.1,46.1,46.1,46.1,46.1,46.1,46.1,45.8,45.8,45.8,45.8,45.8,45.8
70,46.3,46.3,46.3,46.1,46.1,46.1,46.1,46.1,46.1,46.1,45.8,45.8,45.8,45.8,45.8
73.8,46.3,46.3,46.3,46.3,46.1,46.1,46.1,46.1,46.1,46.1,46.1,45.8,45.8,45.8,45.8
75.8,46.3,46.3,46.3,46.3,46.3,46.1,46.1,46.1,46.1,46.1,46.1,46.1,45.8,45.8,45.8
70,46.3,46.3,46.3,46.3,46.3,46.3,46.1,46.1,46.1,46.1,46.1,46.1,46.1,45.8,45.8
66.8,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.1,46.1,46.1,46.1,46.1,46.1,46.1,45.8
67.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.1,46.1,46.1,46.1,46.1,46.1,46.1
76.8,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.1,46.1,46.1,46.1,46.1,46.1
70.5,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.1,46.1,46.1,46.1,46.1
71.6,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.1,46.1,46.1,46.1
71.1,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.1,46.1,46.1
73.2,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.1,46.1
72.5,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.1
59.8,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3
59.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3
63.6,46.5,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3
64.5,46.5,46.5,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3
67.6,46.5,46.5,46.5,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3
65,46.5,46.5,46.5,46.5,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3
69.4,46.5,46.5,46.5,46.5,46.5,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3
73.7,46.5,46.5,46.5,46.5,46.5,46.5,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3
72.6,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.3,46.3,46.3,46.3,46.3,46.3,46.3,46.3
71.4,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.3,46.3,46.3,46.3,46.3,46.3,46.3
71.8,48.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.3,46.3,46.3,46.3,46.3,46.3
73.2,48.7,48.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.3,46.3,46.3,46.3,46.3
73.4,48.7,48.7,48.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.3,46.3,46.3,46.3
74.3,48.7,48.7,48.7,48.7,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.5,46.3,46.3,46.3
